Ano,Municipio,Precip_Feb_mm
2017,Muriaé,143.38
2017,Orizânia,119.26
2017,Patrocínio do Muriaé,143.21
2017,Paula Cândido,94.75
2017,Pequeri,140.74
2017,Senador Firmino,99.17
2017,São João del Rei,134.94
2017,Ubá,109.2
2017,Viçosa,87.75
2018,Barão do Monte Alto,182.66
2018,Caparaó,247.1
2018,Divinésia,184.21
2018,Dores do Turvo,202.25
2018,Durandé,330.88
2018,Juiz de Fora,229.93
2018,Leopoldina,192.42
2018,Matipó,303.65
2018,Muriaé,193.27
2018,Orizânia,273.61
2018,Patrocínio do Muriaé,204.81
2018,Paula Cândido,178.52
2018,Pequeri,190.14
2018,Senador Firmino,184.29
2018,São João del Rei,132.99
2018,Ubá,193.89
2018,Viçosa,174.54
2019,Barão do Monte Alto,169.83
2019,Caparaó,210.69
2019,Divinésia,165.53
2019,Dores do Turvo,174.07
2019,Durandé,180.49
2019,Juiz de Fora,240.43
2019,Leopoldina,236.67
2019,Matipó,148.65
2019,Muriaé,161.2
2019,Orizânia,196.33
2019,Patrocínio do Muriaé,170.36
2019,Paula Cândido,163.43
2019,Pequeri,215.56
2019,Senador Firmino,166.98
2019,São João del Rei,194.32
2019,Ubá,171.58
2019,Viçosa,162.36
2020,Barão do Monte Alto,491.21
2020,Caparaó,504.02
2020,Divinésia,475.79
2020,Dores do Turvo,443.08
2020,Durandé,394.64
2020,Juiz de Fora,392.83
2020,Leopoldina,316.97
2020,Matipó,378.56
2020,Muriaé,394.85
2020,Orizânia,466.49
2020,Patrocínio do Muriaé,535.0
2020,Paula Cândido,441.76
2020,Pequeri,304.61
2020,Senador Firmino,438.51
2020,São João del Rei,408.38
2020,Ubá,454.84
2020,Viçosa,430.04
2021,Barão do Monte Alto,298.31
2021,Caparaó,384.41
2021,Divinésia,234.14
2021,Dores do Turvo,240.09
2021,Durandé,345.15
2021,Juiz de Fora,259.77
2021,Leopoldina,287.01
2021,Matipó,338.94
2021,Muriaé,307.52
2021,Orizânia,353.3
2021,Patrocínio do Muriaé,309.54
2021,Paula Cândido,228.92
2021,Pequeri,241.42
2021,Senador Firmino,237.11
2021,São João del Rei,281.2
2021,Ubá,242.46
2021,Viçosa,241.01
2022,Barão do Monte Alto,322.75
2022,Caparaó,392.72
2022,Divinésia,388.2
2022,Dores do Turvo,364.19
2022,Durandé,363.17
2022,Juiz de Fora,310.95
2022,Leopoldina,312.22
2022,Matipó,296.22
2022,Muriaé,286.2
2022,Orizânia,358.83
2022,Patrocínio do Muriaé,332.67
2022,Paula Cândido,350.21
2022,Pequeri,224.53
2022,Senador Firmino,339.32
2022,São João del Rei,249.16
2022,Ubá,371.12
2022,Viçosa,326.92
2023,Barão do Monte Alto,171.11
2023,Caparaó,140.58
2023,Divinésia,167.19
2023,Dores do Turvo,186.09
2023,Durandé,130.95
2023,Juiz de Fora,269.13
2023,Leopoldina,205.81
2023,Matipó,101.61
2023,Muriaé,170.96
2023,Orizânia,135.76
2023,Patrocínio do Muriaé,193.1
2023,Paula Cândido,151.65
2023,Pequeri,214.01
2023,Senador Firmino,162.23
2023,São João del Rei,262.28
2023,Ubá,174.69
2023,Viçosa,137.16
2024,Barão do Monte Alto,180.06
2024,Caparaó,262.23
2024,Divinésia,207.94
2024,Dores do Turvo,211.96
2024,Durandé,258.07
2024,Juiz de Fora,270.79
2024,Leopoldina,204.91
2024,Matipó,206.57
2024,Muriaé,199.29
2024,Orizânia,249.35
2024,Patrocínio do Muriaé,204.72
2024,Paula Cândido,211.97
2024,Pequeri,252.84
2024,Senador Firmino,206.78
2024,São João del Rei,187.66
2024,Ubá,198.91
2024,Viçosa,208.39
2025,Barão do Monte Alto,25.43
2025,Caparaó,29.49
2025,Divinésia,15.3
2025,Dores do Turvo,34.17
2025,Durandé,23.15
2025,Juiz de Fora,30.1
2025,Leopoldina,13.89
2025,Matipó,34.86
2025,Muriaé,33.47
2025,Orizânia,34.79
2025,Patrocínio do Muriaé,27.29
2025,Paula Cândido,17.07
2025,Pequeri,13.13
2025,Senador Firmino,25.04
2025,São João del Rei,54.9
2025,Ubá,18.35
2025,Viçosa,24.86
2026,Barão do Monte Alto,393.17
2026,Caparaó,296.3
2026,Divinésia,190.59
2026,Dores do Turvo,187.33
2026,Durandé,282.34
2026,Juiz de Fora,558.04
2026,Leopoldina,386.02
2026,Matipó,275.27
2026,Muriaé,355.6
2026,Orizânia,329.25
2026,Patrocínio do Muriaé,396.74
2026,Paula Cândido,208.56
2026,Pequeri,430.93
2026,Senador Firmino,190.65
2026,São João del Rei,273.39
2026,Ubá,202.11
2026,Viçosa,247.76
